Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13297,19.04418564,-5.933361053,0.341560811,1.839999914,19.94999886,0.981000024,-17.30482055,Target 2-3,20,65.00%
2,13299,19.04924202,-5.934936523,0.551744103,1.879999995,19.95999718,1.583999959,-17.30482087,Target 2-3,20,65.00%
2,13301,19.01403046,-5.923965454,0.760376632,1.879999995,19.93000031,2.186500169,-17.30481912,Target 2-3,20,65.00%
2,13303,19.02855873,-5.938488483,1.024621487,1.799999952,19.95999908,2.942500256,-17.33225204,Target 2-3,20,65.00%
2,13306,19.03627777,-5.940896988,1.235412359,1.679999948,19.97999954,3.544999926,-17.33225074,Target 2-3,20,65.00%
2,13314,16.86512756,-5.317554474,-1.282155871,3.119999886,17.72999763,-4.146999864,-17.50000055,Target 2-2,20,95.00%
2,13315,18.73323631,-5.90656662,-1.216862679,2.399999857,19.68000031,-3.544999838,-17.49999972,Target 2-3,20,65.00%
2,13317,19.01109123,-5.994174004,-1.024621487,1.839999914,19.95999908,-2.942500186,-17.4999999,Target 2-3,20,65.00%
2,13318,19.038517,-6.012833118,-0.762284219,1.799999952,19.97999954,-2.186500147,-17.52740146,Target 2-3,20,65.00%
2,13319,19.03557587,-6.01190424,-0.55202055,1.879999995,19.96999931,-1.583999914,-17.52740147,Target 2-3,20,65.00%
2,13321,19.02099228,-6.00729847,-0.341560811,1.799999952,19.94999886,-0.981000022,-17.52740171,Target 2-3,20,65.00%
2,13322,19.02336693,-6.008048534,-0.131616056,1.839999914,19.94999886,-0.377999981,-17.52740196,Target 2-3,20,65.00%
2,13323,19.00142288,-6.011124134,0.131484121,1.799999952,19.93000221,0.377999958,-17.554833,Target 2-3,20,65.00%
2,13325,19.01811409,-6.016404629,0.341560811,1.839999914,19.94999886,0.981000014,-17.55483357,Target 2-3,20,65.00%
2,13327,19.02316475,-6.01800251,0.551744103,1.879999995,19.95999908,1.583999843,-17.55483385,Target 2-3,20,65.00%
2,13329,19.0261097,-6.018933773,0.76190269,1.879999995,19.97000122,2.186500019,-17.55483282,Target 2-3,20,65.00%
2,13331,19.04055023,-6.033521652,1.026674867,1.839999914,20,2.942500137,-17.5822362,Target 2-3,20,65.00%
2,13334,19.0101757,-6.023896694,1.235412359,1.679999948,19.97999954,3.545,-17.58223632,Target 2-3,20,65.00%
2,13342,16.87976456,-5.403250217,-1.285048604,3.039999962,17.77000046,-4.146999703,-17.74998455,Target 2-2,20,95.00%
2,13343,18.70728683,-5.988244534,-1.216862679,2.399999857,19.68000031,-3.544999924,-17.74998557,Target 2-3,20,65.00%
2,13344,18.98475838,-6.07706356,-1.024621487,1.799999952,19.95999908,-2.942500037,-17.74998492,Target 2-3,20,65.00%
2,13346,19.01209831,-6.095850945,-0.762284219,1.799999952,19.97999954,-2.186500176,-17.77741414,Target 2-3,20,65.00%
2,13347,19.03771782,-6.104065895,-0.552849829,1.799999952,19.99999809,-1.583999937,-17.77741568,Target 2-3,20,65.00%
2,13348,19.00411987,-6.093292713,-0.341732025,1.839999914,19.95999908,-0.98100001,-17.77741386,Target 2-3,20,65.00%
2,13349,19.02553749,-6.100160122,-0.131813973,1.799999952,19.97999954,-0.377999954,-17.77741461,Target 2-3,20,65.00%
2,13351,19.00357437,-6.103143215,0.131682023,1.75999999,19.95999718,0.377999976,-17.80481852,Target 2-3,20,65.00%
2,13353,18.99168396,-6.099324226,0.341560811,1.879999995,19.94999886,0.98099998,-17.80481772,Target 2-3,20,65.00%
2,13355,19.03479767,-6.113170624,0.552849829,1.879999995,20,1.583999824,-17.804818,Target 2-3,20,65.00%
2,13358,18.99966621,-6.10188818,0.76190269,1.879999995,19.96999931,2.186500179,-17.80481879,Target 2-3,20,65.00%
2,13360,19.0140419,-6.116547585,1.026674867,1.799999952,20,2.94250011,-17.83224676,Target 2-3,20,65.00%
2,13363,18.98370934,-6.106790543,1.235412359,1.679999948,19.97999954,3.545000004,-17.83224816,Target 2-3,20,65.00%
2,13371,16.81808281,-5.464525223,-1.282155871,3.119999886,17.72999763,-4.146999653,-17.9999965,Target 2-2,20,95.00%
2,13373,18.68097878,-6.069817066,-1.216862679,2.679999828,19.68000031,-3.544999952,-17.99999755,Target 2-3,20,65.00%
2,13374,18.99605179,-6.172190189,-1.026674867,1.799999952,20,-2.942500215,-17.99999676,Target 2-3,20,65.00%
